focalLength,weight,gonadalWeight,maturityStage,species,Sex
72.8,8.02,9.05,II,Big Eye ,F
81.2,9.48,18.27,II,Big Eye ,F
73.7,8.28,7.05,II,Big Eye ,M
74.5,7.54,5.59,II,Big Eye ,M
75.5,8.5,12.67,II,Big Eye ,F
76,8.41,9.99,II,Big Eye ,F
78,8.83,29.99,II,Big Eye ,F
75,7.91,25.06,II,Big Eye ,F
74.7,7.79,24.07,II,Big Eye ,F
73.5,7.64,4.21,II,Big Eye ,M
71.8,6.87,8.55,II,Big Eye ,F
72,7.44,29.99,II,Big Eye ,F
74.1,8.105,5.48,II,Big Eye ,M
80.1,9.17,9.65,II,Big Eye ,M
77.8,7.99,15.39,II,Big Eye ,F
80.5,9.05,20.62,II,Big Eye ,F
73.7,7.66,10,II,Big Eye ,F
75.3,8.35,3.94,II,Big Eye ,M
74.2,7.79,9.99,II,Big Eye ,M
73.9,8.27,4.37,II,Big Eye ,M
75.6,8.33,7.33,II,Big Eye ,M
100,19,317.66,IV,Big Eye ,F
93.3,12.23,48.56,II,Big Eye ,F
63.3,9.4,3.28,I,Big Eye ,M
78.2,7.935,7.2,I,Big Eye ,M
90,9.53,42.87,II,Big Eye ,F
75.5,6.655,4.85,II,Big Eye ,M
82.1,9.495,6.91,I,Big Eye ,M
82.5,9.01,34.89,II,Big Eye ,F
89.4,11.75,60.28,II,Big Eye ,F
63,3.82,48.56,I,Big Eye ,M
56,2.985,3.28,V,Big Eye ,M
63,3.675,7.2,I,Big Eye ,F
58,3.06,42.87,I,Big Eye ,M
57,2.44,4.85,I,Big Eye ,M
59,3.32,6.91,II,Big Eye ,F
60,3.625,34.89,I,Big Eye ,M
60,3.41,60.28,I,Big Eye ,M
72.8,6.21,2.02,I,Big Eye ,M
73,6.81,3.17,I,Big Eye ,M
65.1,4.375,1.92,I,Big Eye ,M
67.2,4.82,2.94,I,Big Eye ,M
61.2,4.265,2.57,I,Big Eye ,M
64.3,4.13,9.95,I,Big Eye ,M
62.1,3.58,2.96,I,Big Eye ,M
61.2,4.01,3.74,I,Big Eye ,M
71.5,5.27,3.53,I,Big Eye ,F
92.7,12.3,6.92,II,Big Eye ,M
77,7.01,14.23,I,Big Eye ,F
93.5,13.6,14.86,I,Big Eye ,M
80.5,6.5,9.37,I,Big Eye ,F
96,13.3,51.1,II,Big Eye ,F
97.3,15.3,12.62,II,Big Eye ,M
95.8,13.6,11.88,I,Big Eye ,M
92.1,12.3,55.19,II,Big Eye ,F
51,2.405,51.1,II,Big Eye ,M
55,2.835,12.62,I,Big Eye ,M
54,2.44,11.88,I,Big Eye ,M
53,2.465,55.19,II,Big Eye ,M
53,2.45,0,II,Big Eye ,M
55,2.745,0,I,Big Eye ,M
92,13.5,255,IV,Big Eye ,F
94.5,13.5,49,IV,Big Eye ,F
76,6.5,0,V,Big Eye ,M
104,19.5,359.24,IV,Big Eye ,M
95,15.5,357.7,IV,Big Eye ,M
94,13.85,236.97,IV,Big Eye ,M
78,11,190.76,IV,Big Eye ,F
103,17,152.2,IV,Big Eye ,M
96,14,361.85,IV,Big Eye ,F
96,15,9.26,IV,Big Eye ,F
104.5,17.5,363.33,IV,Big Eye ,F
87,11.5,168.86,IV,Big Eye ,M
95,13.5,307.27,III,Big Eye ,F
92,14,238.94,IV,Big Eye ,M
100,17,105,IV,Big Eye ,M
105.5,18,178.49,IV,Big Eye ,M
93,13.5,255.86,IV,Big Eye ,M
95,13.5,58.85,II,Big Eye ,F
95,14,79.51,III,Big Eye ,M
92,12.5,214.78,IV,Big Eye ,F
93,12,144.48,IV,Big Eye ,M
99,15.5,264.44,IV,Big Eye ,M
99,15.5,264.44,IV,Big Eye ,M
99,16.5,189.45,IV,Big Eye ,M
92,14,207.35,IV,Big Eye ,M
91,12.5,195.29,IV,Big Eye ,F
93.5,15.25,294.19,IV,Big Eye ,F
90,12.5,237.46,IV,Big Eye ,F
97.5,16.55,269.94,IV,Big Eye ,M
99,15.5,178.67,IV,Big Eye ,M
88,11,158.62,IV,Big Eye ,M
86,10,93.48,IV,Big Eye ,F
103,16.5,98.27,III,Big Eye ,M
103,17,218.75,IV,Big Eye ,M
92,12,163.03,IV,Big Eye ,M
55,2.765,,I,Big Eye ,F
56,3.015,,I,Big Eye ,F
52,2.235,,IV,Big Eye ,M
83,9.94,,IV,Big Eye ,M
83,10.63,,IV,Big Eye ,M
81,9.275,,IV,Big Eye ,M
57.5,2.6,0,I,Big Eye ,M
63,3.7,0,I,Big Eye ,M
61.5,3,0,I,Big Eye ,M
55.1,2.1,0,I,Big Eye ,M
59.2,2.8,0,I,Big Eye ,M
57.9,3.1,0,I,Big Eye ,M
58.2,3,0,I,Big Eye ,M
56.5,2.2,0,I,Big Eye ,M
55.3,2.1,0,I,Big Eye ,M
53.7,1.7,0,I,Big Eye ,M
57.5,2.4,0,I,Big Eye ,M
56.7,2,0,I,Big Eye ,M
57.7,2.7,0,I,Big Eye ,M
52.7,1.8,0,I,Big Eye ,M
55,2.2,0,I,Big Eye ,M
55.7,2.4,5.35,I,Big Eye ,F
55.9,1.5,0.44,I,Big Eye ,F
57,2,0,I,Big Eye ,M
55,1.6,0,I,Big Eye ,M
58,2.6,0,I,Big Eye ,M
53.5,1.7,0,I,Big Eye ,M
57.2,2.4,0,I,Big Eye ,M
59.5,1.4,0,I,Big Eye ,F
56,1.7,0,I,Big Eye ,M
53.5,1.5,0,I,Big Eye ,M
54,1.7,0,I,Big Eye ,M
57.1,2.8,0,I,Big Eye ,M
54,1.5,0,I,Big Eye ,F
56.6,3,0,I,Big Eye ,M
87,11.5,216.75,III,Big Eye ,F
88,11.5,206.9,IV,Big Eye ,M
86.9,11,229,II,Big Eye ,M
89,11,119.33,III,Big Eye ,M
89.5,11,307.24,IV,Big Eye ,F
95.5,14,236.39,III,Big Eye ,M
88,12,369.22,IV,Big Eye ,M
86,11,258.86,III,Big Eye ,M
96,14,23.08,II,Big Eye ,F
90,12,397.37,IV,Big Eye ,F
90,12,169.24,III,Big Eye ,M
104,16,467.06,V,Big Eye ,F
96.5,16,279.37,IV,Big Eye ,M
86,11,335.03,IV,Big Eye ,F
95,15,377.49,III,Big Eye ,M
95.5,16,358.51,IV,Big Eye ,M
88,12,389.11,IV,Big Eye ,F
71,6.31,,I,Big Eye ,M
61,3.715,,I,Big Eye ,M
52,2.175,,I,Big Eye ,M
60,3.2,,IV,Big Eye ,F
50,2.315,,I,Big Eye ,M
58,3.14,80.8,IV,Big Eye ,F
54,2.785,141.6,IV,Big Eye ,F
71,3.3,,I,Big Eye ,M
57,3.163,,I,Big Eye ,M
53,2.35,,IV,Big Eye ,M
58,2.915,72.4,IV,Big Eye ,F
51,2.245,,I,Big Eye ,M
48,1.99,36.4,III,Big Eye ,F
47,1.81,19.7,III,Big Eye ,F
52,2.51,,I,Big Eye ,M
53,2.456,,I,Big Eye ,M
54,2.595,,I,Big Eye ,M
52,2.265,,I,Big Eye ,M
70.2,7,0,II,Big Eye ,M
58.7,3,0,IV,Big Eye ,M
51.2,2.6,0,I,Big Eye ,M
79,7.3,0,III,Big Eye ,M
98.4,10.7,0,I,Big Eye ,M
57,2.7,37.52,V,Big Eye ,F
83.2,8.6,48.3,II,Big Eye ,F
55,2.8,0,I,Big Eye ,M
80.7,8.6,44.55,II,Big Eye ,F
88,10,0,IV,Big Eye ,M
56,1.8,0,I,Big Eye ,M
57,2.6,0,I,Big Eye ,M
94,12.5,0,I,Big Eye ,M
63.5,3.18,11.9,I,Big Eye ,F
94.2,15.42,320,IV,Big Eye ,F
98,16.01,318.15,IV,Big Eye ,F
59,3.36,,II,Big Eye ,M
91,12.65,179,IV,Big Eye ,F
51,2.085,43,III,Big Eye ,F
85,111.17,177.4,IV,Big Eye ,F
86,10.56,125.4,IV,Big Eye ,F
68,5.02,,II,Big Eye ,M
50,2.11,40.3,III,Big Eye ,F
54,2.39,198.9,IV,Big Eye ,F
52,2.71,,II,Big Eye ,M
47,1.95,,II,Big Eye ,M
65,4.9,,II,Big Eye ,M
65,4.095,,II,Big Eye ,M
59,2.255,,II,Big Eye ,M
100,16,299.52,IV,Big Eye ,F
94,13.5,412.76,IV,Big Eye ,F
98,14.5,426.38,IV,Big Eye ,F
96,13.5,294.99,IV,Big Eye ,M
96,13.8,163.56,IV,Big Eye ,M
98,15.5,352.16,IV,Big Eye ,M
93,12.5,268.53,IV,Big Eye ,F
98,14.5,403.17,IV,Big Eye ,F
88,10.2,55,II,Big Eye ,F
79.5,7.6,0,I,Big Eye ,M
80.5,8.5,0,II,Big Eye ,M
77,8.9,0,II,Big Eye ,M
81,8,0,I,Big Eye ,M
58.5,3.4,0,I,Big Eye ,M
57.5,3.1,0,I,Big Eye ,M
59.5,3.6,0,I,Big Eye ,M
100,16,280.7,IV,Big Eye ,M
92,14.75,305,IV,Big Eye ,F
102,17.9,190,IV,Big Eye ,M
88,12,290,IV,Big Eye ,M
90,12,255,IV,Big Eye ,F
96,15,320,IV,Big Eye ,F
94,14,175,IV,Big Eye ,M
97,15,16.6,IV,Big Eye ,F
98,16.5,100.1,IV,Big Eye ,F
96,16,350,IV,Big Eye ,F
96,14,295,IV,Big Eye ,F
95,14,408,V,Big Eye ,M
95,14,408,V,Big Eye ,M
47.1,2,47.01,II,Big Eye ,M
47,2,66.4,III,Big Eye ,M
44.8,1.9,27.92,V,Big Eye ,F
96,15,245,IV,Big Eye ,M
94,14,295,IV,Big Eye ,F
98,14,315,IV,Big Eye ,F
100,17.5,345.31,IV,Big Eye ,M
98,20,266.6,IV,Big Eye ,M
95,14,344.25,IV,Big Eye ,M
93,15,335.14,IV,Big Eye ,M
85,12.5,290.81,IV,Big Eye ,F
94,15,527.78,IV,Big Eye ,M
89,12.5,95,III,Big Eye ,M
100,17,185,IV,Big Eye ,M
94,14,265,IV,Big Eye ,F
100,16,356.82,IV,Big Eye ,F
98,15.7,285,IV,Big Eye ,F
103,19,13.4,IV,Big Eye ,M
77.5,8.8,24.96,II,Big Eye ,F
75.6,6.6,8.36,I,Big Eye ,F
72.5,7.4,0,II,Big Eye ,M
105,19.8,106.51,II,Big Eye ,F
76.5,7,0,IV,Big Eye ,M
103.5,15.5,248.26,IV,Big Eye ,F
97,17.7,0,III,Big Eye ,M
128,38,0,II,Big Eye ,M
109,15.8,0,IV,Big Eye ,M
91,11.9,0,III,Big Eye ,M
71,6.2,0,I,Big Eye ,F
102,17.6,0,II,Big Eye ,M
195,35,0,IV,Big Eye ,M
164,32,0,V,Big Eye ,F
226,0.45,32,V,Big Eye ,F
193,0.5,765,IV,Big Eye ,F
63,4.09,,I,Big Eye ,F
56,3.16,,I,Big Eye ,M
63,4.24,,I,Big Eye ,F
79,7.945,,I,Big Eye ,M
104.5,22,1546.7,III,Big Eye ,F
109,23,648,III,Big Eye ,F
98,17,,III,Big Eye ,M
85,10.42,,I,Big Eye ,M
84,9.475,,I,Big Eye ,M
88,12.5,198.47,III,Big Eye ,F
87,13,,III,Big Eye ,M
108,23,,II,Big Eye ,M
72,5.89,0,I,Big Eye ,M
100,16.2,67.6,V,Big Eye ,F
74,7,10.22,I,Big Eye ,F
68,5.185,,I,Big Eye ,M
70,5.445,,I,Big Eye ,F
67,5.325,,I,Big Eye ,M
68,5.09,,I,Big Eye ,F
69,5.245,,I,Big Eye ,F
67.5,5.32,,I,Big Eye ,M
70,5.295,,I,Big Eye ,M
66.5,5.05,,I,Big Eye ,F
66,4.6,,I,Big Eye ,F
40.5,1.24,27.18,IV,Frigate,M
40.2,1.253,47.08,III,Frigate,F
41.4,1.305,21.11,III,Frigate,M
39.4,1.13,41.4,IV,Frigate,M
40.5,1.185,40.4,IV,Frigate,F
41.4,1.35,44.87,IV,Frigate,M
41.2,1.09,42.38,IV,Frigate,F
40,1.14,30.01,IV,Frigate,M
42.4,1.33,34.45,IV,Frigate,M
41.1,1.13,47.49,IV,Frigate,M
36.5,0.892,23.13,IV,Frigate,M
41.9,1.42,38.38,IV,Frigate,M
39.8,1.18,39.38,IV,Frigate,F
35.8,0.68,26.12,V,Frigate,F
42.4,1.44,51.91,IV,Frigate,M
48,1.76,,II,Frigate,M
57,2.33,,II,Frigate,M
47.03,18.9,23.26,II,Frigate,M
35,0.49,1.2,II,Frigate,M
36,0.67,3.89,IV,Frigate,F
34,0.57,1.18,II,Frigate,M
36,0.53,2.97,III,Frigate,F
34.5,0.55,0,V,Frigate,M
34,0.57,0.63,I,Frigate,M
38,0.68,3.31,III,Frigate,F
35,0.53,3.14,V,Frigate,F
33,0.54,3.34,III,Frigate,F
42,1.02,11.74,V,Frigate,F
35.5,0.66,4.75,V,Frigate,F
35,0.7,4.32,V,Frigate,F
35,0.56,3.05,II,Frigate,F
36,0.64,3.2,IV,Frigate,M
35,0.7,0,I,Frigate,M
37,0.58,2.3,II,Frigate,F
34,0.37,2.05,II,Frigate,F
37,0.6,4.15,III,Frigate,F
34,0.49,1.68,II,Frigate,F
34,0.57,0.43,I,Frigate,M
42,1.11,9.5,IV,Frigate,M
34,0.47,0.32,I,Frigate,M
38,0.69,3.83,III,Frigate,F
35,0.64,4.65,III,Frigate,F
38,0.67,4.15,III,Frigate,F
35,0.42,2.97,II,Frigate,F
35,0.68,3.22,IV,Frigate,M
36.5,0.58,3.76,III,Frigate,F
36.5,0.46,0.46,I,Frigate,M
39,0.71,5.2,V,Frigate,F
33,0.595,0,II,Frigate,M
32,0.55,0,II,Frigate,M
33,0.55,0,II,Frigate,M
33,0.56,0,II,Frigate,M
43,1.195,84.6,IV,Frigate,F
40,1.35,460,II,Frigate,F
42,1.2,0,II,Frigate,M
41,1.09,0,II,Frigate,M
42,1.175,12.5,I,Frigate,F
41,1.165,32.5,II,Frigate,F
44,1.4,70,II,Frigate,F
68,5,0,IV,Frigate,M
48,1.8,0,IV,Frigate,M
43,1.2,0,II,Frigate,M
43,1.2,0,II,Frigate,M
44,1.4,0,IV,Frigate,M
46,1.4,0,IV,Frigate,M
38,0.93,,III,Frigate,M
40,0.95,,III,Frigate,M
40,1.02,,III,Frigate,M
39,0.985,62.6,IV,Frigate,F
40,0.895,35.2,III,Frigate,F
42,1.28,,III,Frigate,M
38,0.985,,III,Frigate,M
42.2,0.7,0,I,Frigate,M
41.3,0.7,18.01,III,Frigate,F
40.3,0.7,27.9,IV,Frigate,F
38.1,0.6,0,III,Frigate,M
40.5,0.6,0,III,Frigate,M
38.2,0.6,0,V,Frigate,F
39.3,0.7,0,III,Frigate,M
37.1,0.5,0,II,Frigate,M
38.4,0.6,0,II,Frigate,M
39.6,0.7,0,II,Frigate,M
40.5,0.8,0,III,Frigate,M
38.1,0.7,27.59,IV,Frigate,F
38.2,0.6,20.85,IV,Frigate,F
38.4,0.7,0,II,Frigate,M
38.5,0.6,0,II,Frigate,M
38.3,0.7,14.04,IV,Frigate,F
40.1,0.7,21.45,IV,Frigate,F
40.1,0.7,20.4,IV,Frigate,F
39.5,0.8,0,II,Frigate,M
38.7,0.7,0,II,Frigate,M
38.7,0.6,0,III,Frigate,M
41.1,1,0,III,Frigate,M
39.5,0.5,0,III,Frigate,M
39.5,0.7,0,II,Frigate,M
39.2,0.6,0,II,Frigate,M
40.1,0.8,0,V,Frigate,F
41.1,0.7,33.23,IV,Frigate,F
37.9,0.7,0,III,Frigate,M
37.4,0.5,0,III,Frigate,M
42.6,1,0,III,Frigate,M
40,0.8,0,III,Frigate,M
43.2,1,0,III,Frigate,M
48.5,1.4,0,IV,Frigate,M
40.5,0.8,0,IV,Frigate,M
41.5,0.8,9.34,II,Frigate,F
40.5,0.7,0,III,Frigate,M
39,0.8,18.12,IV,Frigate,F
40,0.9,21.38,IV,Frigate,F
41.5,0.8,0,I,Frigate,F
42,1,0,III,Frigate,M
40.5,0.9,0,IV,Frigate,M
40,0.8,0,III,Frigate,M
43.2,1,0,III,Frigate,M
48.5,1.4,0,IV,Frigate,M
40.5,0.8,0,IV,Frigate,M
41.5,0.8,9.34,II,Frigate,F
40.5,0.7,0,III,Frigate,M
39,0.8,18.12,IV,Frigate,F
40,0.9,21.38,IV,Frigate,F
41.5,0.8,0,I,Frigate,F
42,1,0,III,Frigate,M
40.5,0.9,0,IV,Frigate,M
40,0.8,31.56,IV,Frigate,F
41.5,0.7,0,II,Frigate,M
38,0.6,0,II,Frigate,M
40,0.8,0,II,Frigate,M
43,0.8,8.68,III,Frigate,F
41.5,0.8,0,IV,Frigate,M
40.2,0.7,8.23,III,Frigate,F
40.3,0.7,9.75,III,Frigate,F
41,0.9,27.98,IV,Frigate,F
41.3,0.8,0,IV,Frigate,M
40.2,0.6,16.53,IV,Frigate,F
40.5,0.7,0,IV,Frigate,M
41,0.9,0,III,Frigate,M
40,0.8,11.49,III,Frigate,F
40.5,0.8,13.58,IV,Frigate,F
41.5,1.8,26.91,IV,Frigate,F
44.5,1,26.95,IV,Frigate,F
40,1,14.9,IV,Frigate,F
38.2,0.96,10.13,II,Frigate,F
40,1.085,17.04,II,Frigate,F
33,0.633,6.47,II,Frigate,F
39,0.975,21.07,III,Frigate,M
38.2,0.915,13.34,III,Frigate,M
40,1.055,21.18,II,Frigate,M
38,0.83,10.76,II,Frigate,F
38.5,0.99,17.18,III,Frigate,M
37,0.83,16.64,III,Frigate,M
39,0.925,13.96,II,Frigate,F
40,1.005,13.22,III,Frigate,M
36,0.795,16.82,II,Frigate,F
36.5,0.78,5.9,I,Frigate,F
37.5,0.82,9.49,II,Frigate,M
38,0.895,12.48,III,Frigate,M
39,0.905,24.73,IV,Frigate,F
37,0.83,12.74,V,Frigate,F
40,1.05,14.64,II,Frigate,F
38,0.955,15.97,II,Frigate,F
37,0.81,10.57,III,Frigate,M
36.5,0.81,28.83,II,Frigate,F
38,0.915,17.77,IV,Frigate,F
405,1.15,39.92,IV,Frigate,F
38,0.915,11.94,II,Frigate,M
40,1.09,48.09,IV,Frigate,F
39,0.96,14.17,III,Frigate,M
41,1.5,42.65,IV,Frigate,F
39,0.9,17,IV,Frigate,F
38,0.89,28.3,IV,Frigate,F
39.2,0.91,12.07,II,Frigate,F
34,0.68,12.27,V,Frigate,F
35,0.66,6.27,II,Frigate,F
36,0.71,8.91,V,Frigate,F
37.5,0.81,14.84,II,Frigate,M
42,0.83,48.3,IV,Frigate,F
34.6,0.42,3.94,V,Frigate,F
38,0.84,9.4,V,Frigate,F
42,1.15,5.1,V,Frigate,F
35.2,0.65,9.36,V,Frigate,F
37,0.73,11.25,V,Frigate,F
36,0.65,6.55,II,Frigate,M
37.8,0.75,17.56,V,Frigate,F
35.5,0.705,31.26,V,Frigate,F
34.5,0.56,8.11,II,Frigate,M
36.8,0.55,9.54,II,Frigate,F
39,0.63,22.48,II,Frigate,M
37,0.6,12.85,II,Frigate,M
40.5,0.89,15,V,Frigate,F
37.6,0.42,12.72,II,Frigate,M
36,0.62,11.3,II,Frigate,F
40.5,0.88,11,V,Frigate,F
39,0.66,9.73,V,Frigate,F
38,0.73,12.8,II,Frigate,M
38.1,0.83,10.97,V,Frigate,F
36,0.68,11.87,II,Frigate,F
37,0.731,28.36,V,Frigate,F
38,0.84,40.61,II,Frigate,M
39.5,0.92,46.71,V,Frigate,F
44,1.255,31.41,II,Frigate,M
40,0.711,27.65,II,Frigate,M
37.5,0.9,0,IV,Frigate,M
39.5,0.8,0,IV,Frigate,M
38.5,0.8,0,III,Frigate,M
38.5,0.85,0,III,Frigate,M
35,0.6,23.95,IV,Frigate,F
38.7,0.9,0,III,Frigate,M
38,0.8,23.17,IV,Frigate,F
37.5,0.7,0,III,Frigate,M
37,0.6,0,III,Frigate,M
39,0.9,0,IV,Frigate,M
38.5,0.8,23.96,IV,Frigate,F
42.5,1.1,27.79,IV,Frigate,F
43.5,1.2,0,IV,Frigate,M
37.5,0.7,0,III,Frigate,M
47.5,1.7,0,IV,Frigate,M
41,0.7,20.68,IV,Frigate,F
38.5,0.8,22.09,IV,Frigate,F
37.4,0.7,15.87,IV,Frigate,F
34,0.6,0,III,Frigate,M
39,0.8,0,IV,Frigate,M
38,0.8,0,III,Frigate,M
37.9,0.7,0,IV,Frigate,M
39.5,0.8,24.55,IV,Frigate,F
36.5,0.7,26.79,IV,Frigate,F
38,0.7,0,II,Frigate,M
39.05,0.8,0,III,Frigate,M
38,0.7,12.69,IV,Frigate,F
35.1,0.6,9.12,IV,Frigate,F
38.5,0.9,0,III,Frigate,M
40,0.9,33,IV,Frigate,F
37,0.6,0,II,Frigate,M
36.5,0.7,0,II,Frigate,M
44.5,1.44,58.36,IV,Frigate,F
41.5,1.91,81.46,III,Frigate,M
43,1.15,39.3,II,Frigate,M
49,1.415,78.9,IV,Frigate,F
44,1.395,47.53,III,Frigate,M
46,1.725,52.86,IV,Frigate,F
43,1.305,3.9,IV,Frigate,F
43.5,1.365,41.19,IV,Frigate,F
45.5,1.465,70.11,IV,Frigate,F
46,2,65.66,IV,Frigate,M
45,2,98.07,IV,Frigate,M
48,2,120.22,IV,Frigate,F
43,1.5,48.22,II,Frigate,M
43,1.5,,IV,Frigate,F
43,1.5,,IV,Frigate,F
43.5,2,75.1,IV,Frigate,F
43,2,136.4,III,Frigate,M
40,1,140.2,IV,Frigate,M
42,2,196.1,IV,Frigate,F
41.5,1.2,206.8,IV,Frigate,M
43.5,2,228.5,IV,Frigate,F
41,1.5,168.2,IV,Frigate,M
41,1,114.1,II,Frigate,M
41.5,1.5,217.1,IV,Frigate,F
40.5,1,161.8,III,Frigate,M
39,1,220.4,IV,Frigate,M
41,1,155.2,IV,Frigate,F
39,1,101.1,III,Frigate,F
46,2,299.2,IV,Frigate,M
43,1.5,213.6,IV,Frigate,F
43,1,154.3,IV,Frigate,F
40,1,28,II,Frigate,M
43.5,2,92,IV,Frigate,M
42,1.5,214.6,IV,Frigate,F
39,1,128.6,III,Frigate,M
44,2,183.4,III,Frigate,M
42,1.5,146.6,IV,Frigate,M
41.5,1.5,177,IV,Frigate,M
40.5,1,199,IV,Frigate,F
41.5,2,147.5,IV,Frigate,F
405,1,92,IV,Frigate,F
44,2,188,IV,Frigate,M
41.5,2,101,IV,Frigate,M
40.5,2,94,IV,Frigate,F
40,2,102,IV,Frigate,F
45,2,102,IV,Frigate,M
43,2,98,IV,Frigate,M
42.5,1.5,55,III,Frigate,M
40,1,107,IV,Frigate,M
40,1.5,66,IV,Frigate,M
41,1,69,IV,Frigate,M
40,1,761,IV,Frigate,F
43,1.3,0,I,Frigate,M
34.5,0.65,0,IV,Frigate,M
43,1.2,0,V,Frigate,F
40,1.1,0,IV,Frigate,M
40,1.3,0,IV,Frigate,M
39.5,1,0,IV,Frigate,M
39,0.9,0,IV,Frigate,M
47.4,1.7,0,IV,Frigate,M
39,0.96,0,III,Frigate,M
43.5,1.5,0,IV,Frigate,M
40,0.95,0,IV,Frigate,M
39.7,0.94,0,IV,Frigate,M
42.5,1.3,61.74,IV,Frigate,F
62,2.7,0,IV,Frigate,M
48,0.4,40,I,Frigate,F
47.5,1.6,0,I,Frigate,F
49.3,1.6,0,II,Frigate,M
49.5,1.5,0,III,Frigate,M
50,1.6,0,V,Frigate,F
63,3.2,53.8,V,Frigate,F
41,1.21,78.36,III,Frigate,F
59.28,8.64,,III,Frigate,F
33,0.505,,III,Frigate,M
32,0.505,,III,Frigate,M
60,3.714,85.76,IV,Frigate,F
52,1.815,,I,Frigate,M
66.5,5.3,150.72,IV,Frigate,F
42,1.14,22.11,IV,Frigate,F
42.5,1.145,61.53,IV,Frigate,F
41,0.98,,III,Frigate,M
40,0.85,77.84,IV,Frigate,F
39,0.86,54.7,III,Frigate,F
85.76,6.98,,IV,Frigate,F
61.14,3.7,61.14,IV,Frigate,F
66,4.615,143.13,IV,Frigate,F
64,3.96,,I,Frigate,M
40.5,1.055,36.055,IV,Frigate,F
40,1.075,39.25,IV,Frigate,F
40,0.975,,III,Frigate,M
42,1.095,19.53,IV,Frigate,F
60,2.86,77.46,V,Kawakawa,F
57,2.93,37.58,V,Kawakawa,F
58,2.98,66.65,IV,Kawakawa,F
63,3.62,136.56,III,Kawakawa,F
61,3.22,83.61,IV,Kawakawa,M
55,2.52,34.27,II,Kawakawa,F
62,2.61,140.01,III,Kawakawa,F
63,3.52,83.61,III,Kawakawa,M
60,3.53,174.65,IV,Kawakawa,F
60,3.42,138.7,IV,Kawakawa,F
58.5,2.99,23.34,II,Kawakawa,F
60,2.9,72.25,II,Kawakawa,F
55,2.48,110,IV,Kawakawa,F
58.5,3.09,106.61,IV,Kawakawa,F
61,3.333,65.31,II,Kawakawa,M
60,3.435,115.63,III,Kawakawa,M
59,3.18,101.56,II,Kawakawa,M
58,2.79,60.85,IV,Kawakawa,F
62,3.06,83.31,IV,Kawakawa,F
60,3.19,61.03,II,Kawakawa,M
61,30.055,109.69,III,Kawakawa,F
60,3.28,42.14,II,Kawakawa,F
58,3.04,29.64,II,Kawakawa,M
62,3.466,130,IV,Kawakawa,F
61,3.86,96.69,III,Kawakawa,F
58,2.806,66.94,II,Kawakawa,M
58.5,3.08,54.91,III,Kawakawa,F
60,2.78,22.54,II,Kawakawa,M
60,3.095,83.43,II,Kawakawa,F
59.5,3.185,38.33,III,Kawakawa,M
61.9,3.835,104.2,IV,Kawakawa,F
58.5,3.4,40.92,III,Kawakawa,M
55,2.6,9.3,V,Kawakawa,F
57,2.905,45.9,III,Kawakawa,F
56,2.905,,II,Kawakawa,F
46,1.54,,II,Kawakawa,M
47,1.5,,II,Kawakawa,M
53.8,2.23,2.37,I,Kawakawa,M
56.7,2.615,5.04,I,Kawakawa,M
51.7,1.87,6.3,I,Kawakawa,F
51.2,1.86,1.06,I,Kawakawa,M
46.8,1.51,2.75,I,Kawakawa,F
54.1,2.345,13.5,I,Kawakawa,F
88.1,1.615,0.64,I,Kawakawa,M
54.4,2.46,14.83,I,Kawakawa,F
54.3,2.43,2.59,I,Kawakawa,M
47.6,1.605,0.68,I,Kawakawa,F
50.5,1.99,4.11,I,Kawakawa,M
48.7,1.68,2.48,I,Kawakawa,F
55.6,2.6,14.51,I,Kawakawa,F
46.3,1.415,0.37,I,Kawakawa,M
50.1,1.89,2.39,I,Kawakawa,F
470,1.6,1.81,I,Kawakawa,F
60,3,14.57,I,Kawakawa,F
58.1,2.93,15.17,I,Kawakawa,F
59.4,6.226,17.93,I,Kawakawa,F
60,6.58,8.84,I,Kawakawa,M
65.59,97.41,30.95,II,Kawakawa,F
56.2,2.66,3.14,I,Kawakawa,M
54.6,1.435,0.16,I,Kawakawa,M
55.5,2.515,16.61,I,Kawakawa,F
51.5,1.765,0.93,I,Kawakawa,M
54.8,2.37,15.3,I,Kawakawa,F
51.6,0.215,15,I,Kawakawa,F
58.1,2.87,7.91,I,Kawakawa,M
46.3,1.64,0.67,I,Kawakawa,M
49.5,2.045,19.05,I,Kawakawa,F
55.1,2.775,13.72,I,Kawakawa,F
51.3,1.895,4.01,I,Kawakawa,F
49.9,1.815,4.17,I,Kawakawa,F
60.1,3.015,4.25,I,Kawakawa,M
42,1.045,104.3,IV,Kawakawa,F
45,1.325,192.3,IV,Kawakawa,F
55.4,2.52,12.28,II,Kawakawa,M
56.04,3.08,47.9,III,Kawakawa,M
59,2.88,2.39,I,Kawakawa,M
54.7,2.52,3.23,I,Kawakawa,M
58.4,3.455,83.33,III,Kawakawa,F
57,2.67,8.53,I,Kawakawa,M
58.1,2.706,20.64,I,Kawakawa,F
49.1,1.765,0.36,I,Kawakawa,M
58.5,2.785,5.08,I,Kawakawa,M
58.1,2.66,2.41,I,Kawakawa,M
56.5,2.95,70,IV,Kawakawa,F
52,2.84,49.26,IV,Kawakawa,F
56.3,2.91,70.95,IV,Kawakawa,M
55.3,2.82,14.22,II,Kawakawa,M
53.4,2.74,111.72,IV,Kawakawa,F
53.5,2.32,43.19,III,Kawakawa,F
